,Alphabet,Count
0,অ,1862
1,আ,4437
2,ই,3724
3,ঈ,23
4,উ,1784
5,ঊ,6
6,ঋ,1
7,এ,4197
8,ঐ,4
9,ও,2676
10,ঔ,0
11,ক,19452
12,খ,3159
13,গ,4149
14,ঘ,669
15,ঙ,459
16,চ,3557
17,ছ,4514
18,জ,4566
19,ঝ,636
20,ঞ,326
21,ট,8141
22,ঠ,956
23,ড,3321
24,ঢ,303
25,ণ,1717
26,ত,10593
27,থ,3242
28,দ,5001
29,ধ,1934
30,ন,18304
31,প,8655
32,ফ,2038
33,ব,10044
34,ভ,2442
35,ম,8168
36,য,4539
37,র,28100
38,ল,14257
39,শ,2914
40,ষ,1232
41,স,10680
42,হ,4785
43,ড়,0
44,ঢ়,0
45,য়,7584
46,ৎ,205
47,ং,767
48,ঃ,102
49,ঁ,1664
50,া,40068
51,ি,19080
52,ী,1396
53,ু,7221
54,ূ,539
55,ৃ,334
56,ে,38783
57,ৈ,119
58,ো,5832
59,ৌ,90
